date,open,high,low,close,volume,marketCap
2017-12-11,371.31,396.37,369.68,379.63,39237900,1773700000
2017-12-10,374.78,384.96,328.65,374.21,26008800,1193920000
2017-12-09,409.58,415.65,338.1,373.26,24820000,1304780000
2017-12-08,447.95,453.42,356.84,409.73,24872700,1427030000
2017-12-07,368.22,447.18,361.2,447.18,37367700,1173020000
2017-12-06,331.14,371.27,331.14,369.24,31103500,1054920000
2017-12-05,331.34,338.96,324.2,331.74,21190000,1055560000
2017-12-04,292.85,332.09,292.85,330.67,19053100,932938000
2017-12-03,318.83,342.51,296.17,311.99,16500300,1015700000
2017-12-02,322.45,327.56,310.75,319.24,16065500,1027220000
2017-12-01,283.65,322.74,272.85,322.74,23616200,903630000
2017-11-30,273.51,297.65,255.41,285.46,19684400,584800000
2017-11-29,285.09,325.31,253.61,269.33,31234400,609556000
2017-11-28,301.27,301.27,284.99,286.04,25368700,644146000
2017-11-27,299.69,307.44,273.6,300.48,28551400,640764000
2017-11-26,304.6,310,273.25,299.79,20582600,651255000
2017-11-25,296.49,307.98,277.08,304.7,19070800,633916000
2017-11-24,289.12,300.32,283.56,297.26,17307700,618155000
2017-11-23,299.29,301,289.76,289.76,17550800,639913000
2017-11-22,294.75,301.2,291.73,299.33,19632100,630210000
2017-11-21,296.57,301.53,274.78,294.1,23952700,634092000
2017-11-20,292.51,302.04,256.51,296.51,28203100,625403000
2017-11-19,294.46,295.88,281.27,292.65,16763600,629582000
2017-11-18,295.91,299.17,284.36,294.92,17783600,632692000
2017-11-17,302.48,308.66,291,297.02,23569000,646736000
2017-11-16,274.63,308.34,261.24,303.01,31028800,587185000
2017-11-15,255.66,280.37,255.66,273.13,26940000,546634000
2017-11-14,252.45,259.37,248.25,255.38,22764400,539765000
2017-11-13,218.02,259.44,216.57,251.9,19908200,466138000
2017-11-12,241.44,241.44,201.66,218,13218700,516226000
2017-11-11,252.63,262.24,237.99,241.58,15969100,540148000
2017-11-10,274.44,286.7,248.33,253.59,20860300,586777000
2017-11-09,285.18,285.42,270.68,273.57,22690900,609733000
